name,threads,n,run,duration
mpi-pi++,8,1,7,0.0304065
cpp11-pi,8,1,8,0.000441
openMP-pi,8,1,8,0.001117
mpi-pi,8,1,8,0.03056043
mpi-pi++,8,1,8,0.0304098
cpp11-pi,8,1,9,0.00041
openMP-pi,8,1,9,0.001094
mpi-pi,8,1,9,0.02044027
mpi-pi++,8,1,9,0.0303781
cpp11-pi,8,1,10,0.000414
openMP-pi,8,1,10,0.001069
mpi-pi,8,1,10,0.03046461
mpi-pi++,8,1,10,0.0305511
cpp11-pi,1,2,1,0.004235
openMP-pi,1,2,1,0.009761
mpi-pi,1,2,1,0.00395439
mpi-pi++,1,2,1,0.00409044
cpp11-pi,1,2,2,0.008484
openMP-pi,1,2,2,0.00785
mpi-pi,1,2,2,0.00396886
mpi-pi++,1,2,2,0.00389485
cpp11-pi,1,2,3,0.004047
openMP-pi,1,2,3,0.010088
mpi-pi,1,2,3,0.00395072
mpi-pi++,1,2,3,0.00388586
cpp11-pi,1,2,4,0.008598
openMP-pi,1,2,4,0.008836
mpi-pi,1,2,4,0.00398381
mpi-pi++,1,2,4,0.00389722
cpp11-pi,1,2,5,0.013634
openMP-pi,1,2,5,0.008961
mpi-pi,1,2,5,0.00402219
mpi-pi++,1,2,5,0.00391803
cpp11-pi,1,2,6,0.01378
openMP-pi,1,2,6,0.008985
mpi-pi,1,2,6,0.00398746
mpi-pi++,1,2,6,0.0039477
cpp11-pi,1,2,7,0.008418
openMP-pi,1,2,7,0.008501
mpi-pi,1,2,7,0.00393869
mpi-pi++,1,2,7,0.00396703
cpp11-pi,1,2,8,0.013626
openMP-pi,1,2,8,0.009425
mpi-pi,1,2,8,0.00391265
mpi-pi++,1,2,8,0.0038893
cpp11-pi,1,2,9,0.004086
openMP-pi,1,2,9,0.010962
mpi-pi,1,2,9,0.00394304
mpi-pi++,1,2,9,0.00394335
cpp11-pi,1,2,10,0.009056
openMP-pi,1,2,10,0.011459
mpi-pi,1,2,10,0.00388960
mpi-pi++,1,2,10,0.00393353
cpp11-pi,2,2,1,0.007161
openMP-pi,2,2,1,0.012899
mpi-pi,2,2,1,0.01201992
mpi-pi++,2,2,1,0.00209359
cpp11-pi,2,2,2,0.002145
openMP-pi,2,2,2,0.003369
mpi-pi,2,2,2,0.01202808
mpi-pi++,2,2,2,0.0119937
cpp11-pi,2,2,3,0.002145
openMP-pi,2,2,3,0.003357
mpi-pi,2,2,3,0.01196317
mpi-pi++,2,2,3,0.0121918
cpp11-pi,2,2,4,0.002092
openMP-pi,2,2,4,0.003223
mpi-pi,2,2,4,0.01205586
mpi-pi++,2,2,4,0.0119951
cpp11-pi,2,2,5,0.006221
openMP-pi,2,2,5,0.012809
mpi-pi,2,2,5,0.00209520
mpi-pi++,2,2,5,0.0119756
cpp11-pi,2,2,6,0.0069
openMP-pi,2,2,6,0.012419
mpi-pi,2,2,6,0.00205282
mpi-pi++,2,2,6,0.00205336
cpp11-pi,2,2,7,0.002198
openMP-pi,2,2,7,0.003189
mpi-pi,2,2,7,0.01196291
mpi-pi++,2,2,7,0.0120634
cpp11-pi,2,2,8,0.002155
openMP-pi,2,2,8,0.002999
mpi-pi,2,2,8,0.01197586
mpi-pi++,2,2,8,0.012
cpp11-pi,2,2,9,0.002176
openMP-pi,2,2,9,0.003238
mpi-pi,2,2,9,0.01202416
mpi-pi++,2,2,9,0.0120299
cpp11-pi,2,2,10,0.002164
openMP-pi,2,2,10,0.00898
mpi-pi,2,2,10,0.01199693
mpi-pi++,2,2,10,0.00205425
cpp11-pi,4,2,1,0.001167
openMP-pi,4,2,1,0.002327
mpi-pi,4,2,1,0.02139415
mpi-pi++,4,2,1,0.0211975
cpp11-pi,4,2,2,0.00119
openMP-pi,4,2,2,0.001981
mpi-pi,4,2,2,0.02125651
mpi-pi++,4,2,2,0.0211682
cpp11-pi,4,2,3,0.001163
openMP-pi,4,2,3,0.002492
mpi-pi,4,2,3,0.02122398
mpi-pi++,4,2,3,0.011096
cpp11-pi,4,2,4,0.001203
openMP-pi,4,2,4,0.001986
mpi-pi,4,2,4,0.02114876
mpi-pi++,4,2,4,0.0113188
cpp11-pi,4,2,5,0.001135
openMP-pi,4,2,5,0.001756
mpi-pi,4,2,5,0.02106710
mpi-pi++,4,2,5,0.0217815
cpp11-pi,4,2,6,0.00124
openMP-pi,4,2,6,0.002014
mpi-pi,4,2,6,0.02117857
mpi-pi++,4,2,6,0.0213155
cpp11-pi,4,2,7,0.001181
openMP-pi,4,2,7,0.001887
mpi-pi,4,2,7,0.02125378
mpi-pi++,4,2,7,0.021262
cpp11-pi,4,2,8,0.001164
openMP-pi,4,2,8,0.002209
mpi-pi,4,2,8,0.02112934
mpi-pi++,4,2,8,0.0210794
cpp11-pi,4,2,9,0.001222
openMP-pi,4,2,9,0.00179
mpi-pi,4,2,9,0.02112668
mpi-pi++,4,2,9,0.0211627
cpp11-pi,4,2,10,0.001157
openMP-pi,4,2,10,0.00178
mpi-pi,4,2,10,0.02107809
mpi-pi++,4,2,10,0.0213123
cpp11-pi,8,2,1,0.000776
openMP-pi,8,2,1,0.001688
mpi-pi,8,2,1,0.03065008
mpi-pi++,8,2,1,0.020884
cpp11-pi,8,2,2,0.000693
openMP-pi,8,2,2,0.00141
mpi-pi,8,2,2,0.02073226
mpi-pi++,8,2,2,0.0306393
cpp11-pi,8,2,3,0.000713
openMP-pi,8,2,3,0.001555
mpi-pi,8,2,3,0.03063075
