name,threads,n,duration
openMP-pi,16,16384,2.73435
mpi-pi,16,16384,2.52872468
mpi-pi++,16,16384,2.74462
cpp11-pi,16,1,0.002366
openMP-pi,16,1,0.010945
mpi-pi,16,1,0.00066889
mpi-pi++,16,1,0.00067647
cpp11-pi,16,2,0.001937
openMP-pi,16,2,0.005998
mpi-pi,16,2,0.00089293
mpi-pi++,16,2,0.00149845
cpp11-pi,16,4,0.002568
openMP-pi,16,4,0.004816
mpi-pi,16,4,0.00188863
mpi-pi++,16,4,0.00236317
cpp11-pi,16,8,0.004045
openMP-pi,16,8,0.004846
mpi-pi,16,8,0.00318781
mpi-pi++,16,8,0.00270544
cpp11-pi,16,16,0.005766
openMP-pi,16,16,0.010048
mpi-pi,16,16,0.00522688
mpi-pi++,16,16,0.00524582
cpp11-pi,16,32,0.008871
openMP-pi,16,32,0.017793
mpi-pi,16,32,0.00929563
mpi-pi++,16,32,0.0086587
cpp11-pi,16,64,0.015426
openMP-pi,16,64,0.015752
mpi-pi,16,64,0.01574704
mpi-pi++,16,64,0.0148184
cpp11-pi,16,128,0.034079
openMP-pi,16,128,0.04183
mpi-pi,16,128,0.03014898
mpi-pi++,16,128,0.0352067
cpp11-pi,16,256,0.052818
openMP-pi,16,256,0.055821
mpi-pi,16,256,0.05100991
mpi-pi++,16,256,0.0641316
cpp11-pi,16,512,0.1124
openMP-pi,16,512,0.130614
mpi-pi,16,512,0.09789328
mpi-pi++,16,512,0.103142
cpp11-pi,16,1024,0.201948
openMP-pi,16,1024,0.239804
mpi-pi,16,1024,0.16848924
mpi-pi++,16,1024,0.19291
cpp11-pi,16,2048,0.342998
openMP-pi,16,2048,0.469344
mpi-pi,16,2048,0.37109889
mpi-pi++,16,2048,0.399507
cpp11-pi,16,4096,0.68141
openMP-pi,16,4096,0.694425
mpi-pi,16,4096,0.64250865
mpi-pi++,16,4096,0.680805
cpp11-pi,16,8192,1.3598
openMP-pi,16,8192,1.51955
mpi-pi,16,8192,1.27790106
mpi-pi++,16,8192,1.42257
cpp11-pi,16,16384,2.73105
openMP-pi,16,16384,2.78969
mpi-pi,16,16384,2.54603651
mpi-pi++,16,16384,2.71876
cpp11-pi,64,1,0.002751
openMP-pi,64,1,0.015529
mpi-pi,64,1,0.00083324
mpi-pi++,64,1,0.00049192
cpp11-pi,64,2,0.002522
openMP-pi,64,2,0.0185
mpi-pi,64,2,0.00074436
mpi-pi++,64,2,0.000762551
cpp11-pi,64,4,0.002559
openMP-pi,64,4,0.015108
mpi-pi,64,4,0.00109894
mpi-pi++,64,4,0.000863775
cpp11-pi,64,8,0.00259
openMP-pi,64,8,0.014948
mpi-pi,64,8,0.00125382
mpi-pi++,64,8,0.00114162
cpp11-pi,64,16,0.002864
openMP-pi,64,16,0.011931
mpi-pi,64,16,0.00215931
mpi-pi++,64,16,0.00228642
cpp11-pi,64,32,0.005872
openMP-pi,64,32,0.01683
mpi-pi,64,32,0.00345079
mpi-pi++,64,32,0.00306302
cpp11-pi,64,64,0.007903
openMP-pi,64,64,0.01687
mpi-pi,64,64,0.00566998
mpi-pi++,64,64,0.00650205
cpp11-pi,64,128,0.01439
openMP-pi,64,128,0.022779
mpi-pi,64,128,0.00934194
mpi-pi++,64,128,0.0115007
cpp11-pi,64,256,0.020701
openMP-pi,64,256,0.033492
mpi-pi,64,256,0.01638055
mpi-pi++,64,256,0.0158436
cpp11-pi,64,512,0.071543
openMP-pi,64,512,0.088851
mpi-pi,64,512,0.03407597
mpi-pi++,64,512,0.0479135
cpp11-pi,64,1024,0.133634
openMP-pi,64,1024,0.150244
mpi-pi,64,1024,0.06211756
mpi-pi++,64,1024,0.0726997
cpp11-pi,64,2048,0.127291
openMP-pi,64,2048,0.134605
mpi-pi,64,2048,0.12664956
mpi-pi++,64,2048,0.119497
cpp11-pi,64,4096,0.2759
openMP-pi,64,4096,0.358951
mpi-pi,64,4096,0.33342935
mpi-pi++,64,4096,0.316277
cpp11-pi,64,8192,0.452149
openMP-pi,64,8192,0.51552
mpi-pi,64,8192,0.41275955
mpi-pi++,64,8192,0.441405
cpp11-pi,64,16384,0.94412
openMP-pi,64,16384,0.980493
mpi-pi,64,16384,0.86710258
mpi-pi++,64,16384,0.900432
cpp11-pi,64,1,0.002608
openMP-pi,64,1,0.002086
mpi-pi,64,1,0.00100040
mpi-pi++,64,1,0.0010234
cpp11-pi,64,2,0.002724
openMP-pi,64,2,0.013371
mpi-pi,64,2,0.00078574
mpi-pi++,64,2,0.000680548
cpp11-pi,64,4,0.003908
openMP-pi,64,4,0.002367
mpi-pi,64,4,0.00079091
mpi-pi++,64,4,0.000775962
cpp11-pi,64,8,0.00298
openMP-pi,64,8,0.002579
mpi-pi,64,8,0.00126420
mpi-pi++,64,8,0.00235905
cpp11-pi,64,16,0.002926
openMP-pi,64,16,0.003197
mpi-pi,64,16,0.00196254
mpi-pi++,64,16,0.00175802
cpp11-pi,64,32,0.003586
openMP-pi,64,32,0.004104
mpi-pi,64,32,0.00286627
mpi-pi++,64,32,0.00273806
cpp11-pi,64,64,0.005402
openMP-pi,64,64,0.005335
mpi-pi,64,64,0.00702110
mpi-pi++,64,64,0.0050988
cpp11-pi,64,128,0.010593
openMP-pi,64,128,0.01107
mpi-pi,64,128,0.01019451
mpi-pi++,64,128,0.00955565
cpp11-pi,64,256,0.014737
openMP-pi,64,256,0.014868
mpi-pi,64,256,0.01642902
mpi-pi++,64,256,0.0183316
cpp11-pi,64,512,0.027235
openMP-pi,64,512,0.027244
mpi-pi,64,512,0.03406690
mpi-pi++,64,512,0.035123
cpp11-pi,64,1024,0.050898
openMP-pi,64,1024,0.054346
mpi-pi,64,1024,0.05924441
mpi-pi++,64,1024,0.0610912
cpp11-pi,64,2048,0.101062
openMP-pi,64,2048,0.110001
mpi-pi,64,2048,0.11277734
mpi-pi++,64,2048,0.123176
cpp11-pi,64,4096,0.199235
openMP-pi,64,4096,0.200222
mpi-pi,64,4096,0.28866681
mpi-pi++,64,4096,0.286832
cpp11-pi,64,8192,0.401009
openMP-pi,64,8192,0.425916
mpi-pi,64,8192,0.49101106
mpi-pi++,64,8192,0.428609
cpp11-pi,64,16384,0.799445
openMP-pi,64,16384,0.806085
mpi-pi,64,16384,0.83557580
mpi-pi++,64,16384,0.902137
cpp11-pi,16,1,0.001426
openMP-pi,16,1,0.012686
mpi-pi,16,1,0.00067664
mpi-pi++,16,1,0.000962634
cpp11-pi,16,2,0.001574
openMP-pi,16,2,0.003302
mpi-pi,16,2,0.00150399
mpi-pi++,16,2,0.00149975
cpp11-pi,16,4,0.002627
openMP-pi,16,4,0.015964
mpi-pi,16,4,0.00174259
mpi-pi++,16,4,0.00168351
cpp11-pi,16,8,0.003555
openMP-pi,16,8,0.005126
mpi-pi,16,8,0.00304745
mpi-pi++,16,8,0.00295781
cpp11-pi,16,16,0.005776
openMP-pi,16,16,0.006669
mpi-pi,16,16,0.00370362
mpi-pi++,16,16,0.00530599
cpp11-pi,16,32,0.008899
openMP-pi,16,32,0.009283
mpi-pi,16,32,0.00944120
mpi-pi++,16,32,0.0104023
cpp11-pi,16,64,0.019393
openMP-pi,16,64,0.015446
mpi-pi,16,64,0.01590585
mpi-pi++,16,64,0.0134451
cpp11-pi,16,128,0.032617
openMP-pi,16,128,0.053142
mpi-pi,16,128,0.03111469
mpi-pi++,16,128,0.0277631
cpp11-pi,16,256,0.055357
openMP-pi,16,256,0.067502
mpi-pi,16,256,0.04767139
mpi-pi++,16,256,0.057293
cpp11-pi,16,512,0.103872
openMP-pi,16,512,0.122371
mpi-pi,16,512,0.10835177
mpi-pi++,16,512,0.105015
cpp11-pi,16,1024,0.216051
openMP-pi,16,1024,0.201811
mpi-pi,16,1024,0.16033529
mpi-pi++,16,1024,0.170363
cpp11-pi,16,2048,0.478719
openMP-pi,16,2048,0.358978
mpi-pi,16,2048,0.31996959
mpi-pi++,16,2048,0.375771
cpp11-pi,16,4096,0.687926
openMP-pi,16,4096,0.870013
mpi-pi,16,4096,0.63511219
mpi-pi++,16,4096,0.872229
cpp11-pi,16,8192,1.57637
openMP-pi,16,8192,1.59234
mpi-pi,16,8192,1.26309600
mpi-pi++,16,8192,1.37132
cpp11-pi,16,16384,2.84168
openMP-pi,16,16384,3.16211
mpi-pi,16,16384,2.52521046
mpi-pi++,16,16384,2.71958
cpp11-pi,64,1,0.002603
openMP-pi,64,1,0.002374
mpi-pi,64,1,0.00080280
mpi-pi++,64,1,0.00119367
cpp11-pi,64,2,0.002814
openMP-pi,64,2,0.002276
mpi-pi,64,2,0.00095857
mpi-pi++,64,2,0.00106922
cpp11-pi,64,4,0.005134
openMP-pi,64,4,0.003268
mpi-pi,64,4,0.00139292
mpi-pi++,64,4,0.000760864
cpp11-pi,64,8,0.002802
openMP-pi,64,8,0.005225
mpi-pi,64,8,0.00097088
mpi-pi++,64,8,0.00152856
cpp11-pi,64,16,0.003177
openMP-pi,64,16,0.005913
mpi-pi,64,16,0.00207193
mpi-pi++,64,16,0.00223677
cpp11-pi,64,32,0.007777
openMP-pi,64,32,0.007025
mpi-pi,64,32,0.00313328
mpi-pi++,64,32,0.00420854
cpp11-pi,64,64,0.0051
openMP-pi,64,64,0.005375
mpi-pi,64,64,0.00526457
mpi-pi++,64,64,0.00637853
cpp11-pi,64,128,0.008883
openMP-pi,64,128,0.008576
mpi-pi,64,128,0.00874183
mpi-pi++,64,128,0.0133694
cpp11-pi,64,256,0.016277
openMP-pi,64,256,0.029946
mpi-pi,64,256,0.02345312
mpi-pi++,64,256,0.0208308
cpp11-pi,64,512,0.027766
openMP-pi,64,512,0.02898
mpi-pi,64,512,0.04050637
mpi-pi++,64,512,0.0491768
cpp11-pi,64,1024,0.054491
openMP-pi,64,1024,0.057096
mpi-pi,64,1024,0.08121093
mpi-pi++,64,1024,0.0766926
cpp11-pi,64,2048,0.1148
openMP-pi,64,2048,0.109291
mpi-pi,64,2048,0.16079430
mpi-pi++,64,2048,0.132413
cpp11-pi,64,4096,0.218131
openMP-pi,64,4096,0.21235
mpi-pi,64,4096,0.27213275
mpi-pi++,64,4096,0.241298
cpp11-pi,64,8192,0.440525
openMP-pi,64,8192,0.43798
mpi-pi,64,8192,0.51586852
mpi-pi++,64,8192,0.45616
cpp11-pi,64,16384,0.871387
openMP-pi,64,16384,0.866389
mpi-pi,64,16384,0.96167893
mpi-pi++,64,16384,0.939612
cpp11-pi,64,1,0.003059
openMP-pi,64,1,0.006914
mpi-pi,64,1,0.00034032
mpi-pi++,64,1,0.000876071
cpp11-pi,64,2,0.003007
openMP-pi,64,2,0.00247
mpi-pi,64,2,0.00122872
mpi-pi++,64,2,0.000990286
cpp11-pi,64,4,0.008249
openMP-pi,64,4,0.004519
mpi-pi,64,4,0.00112540
mpi-pi++,64,4,0.00136137
cpp11-pi,64,8,0.002672
openMP-pi,64,8,0.002567
mpi-pi,64,8,0.00094049
mpi-pi++,64,8,0.00134997
cpp11-pi,64,16,0.005988
openMP-pi,64,16,0.008283
mpi-pi,64,16,0.00190200
mpi-pi++,64,16,0.00211484
cpp11-pi,64,32,0.00363
openMP-pi,64,32,0.003881
mpi-pi,64,32,0.00344868
mpi-pi++,64,32,0.00286721
cpp11-pi,64,64,0.005383
openMP-pi,64,64,0.006097
mpi-pi,64,64,0.00554798
mpi-pi++,64,64,0.00536211
cpp11-pi,64,128,0.008632
openMP-pi,64,128,0.009208
mpi-pi,64,128,0.00978329
mpi-pi++,64,128,0.00983713
cpp11-pi,64,256,0.014518
openMP-pi,64,256,0.015084
mpi-pi,64,256,0.01710125
mpi-pi++,64,256,0.0162405
cpp11-pi,64,512,0.027154
openMP-pi,64,512,0.027428
mpi-pi,64,512,0.03202418
mpi-pi++,64,512,0.0492193
cpp11-pi,64,1024,0.052593
openMP-pi,64,1024,0.052417
mpi-pi,64,1024,0.06478887
mpi-pi++,64,1024,0.0782819
cpp11-pi,64,2048,0.10373
openMP-pi,64,2048,0.103183
mpi-pi,64,2048,0.13695145
mpi-pi++,64,2048,0.168282
cpp11-pi,64,4096,0.268906
openMP-pi,64,4096,0.222528
mpi-pi,64,4096,0.24156747
mpi-pi++,64,4096,0.25809
cpp11-pi,64,8192,0.407786
openMP-pi,64,8192,0.453203
mpi-pi,64,8192,0.53576219
mpi-pi++,64,8192,0.496793
cpp11-pi,64,16384,0.931288
openMP-pi,64,16384,0.851778
mpi-pi,64,16384,0.98947122
mpi-pi++,64,16384,1.02199
cpp11-pi,32,1,0.001371
openMP-pi,32,1,0.001089
mpi-pi,32,1,0.00038187
mpi-pi++,32,1,0.000561927
cpp11-pi,32,2,0.001592
openMP-pi,32,2,0.001252
mpi-pi,32,2,0.00063851
mpi-pi++,32,2,0.000597438
cpp11-pi,32,4,0.001614
openMP-pi,32,4,0.001347
mpi-pi,32,4,0.00133584
mpi-pi++,32,4,0.000826669
cpp11-pi,32,8,0.003424
openMP-pi,32,8,0.00189
mpi-pi,32,8,0.00135338
mpi-pi++,32,8,0.00247047
cpp11-pi,32,16,0.002353
openMP-pi,32,16,0.003695
mpi-pi,32,16,0.00323919
mpi-pi++,32,16,0.00259542
cpp11-pi,32,32,0.004574
openMP-pi,32,32,0.004005
mpi-pi,32,32,0.00643756
mpi-pi++,32,32,0.00498696
cpp11-pi,32,64,0.007374
openMP-pi,32,64,0.00769
mpi-pi,32,64,0.00958596
mpi-pi++,32,64,0.00998685
cpp11-pi,32,128,0.014391
openMP-pi,32,128,0.019362
mpi-pi,32,128,0.01884330
mpi-pi++,32,128,0.0187262
cpp11-pi,32,256,0.026996
openMP-pi,32,256,0.026066
mpi-pi,32,256,0.03164013
mpi-pi++,32,256,0.0295211
cpp11-pi,32,512,0.050956
openMP-pi,32,512,0.051431
mpi-pi,32,512,0.05114770
mpi-pi++,32,512,0.0633185
cpp11-pi,32,1024,0.101219
openMP-pi,32,1024,0.120589
mpi-pi,32,1024,0.10498634
mpi-pi++,32,1024,0.0992101
cpp11-pi,32,2048,0.221241
openMP-pi,32,2048,0.205112
mpi-pi,32,2048,0.28012403
mpi-pi++,32,2048,0.24103
cpp11-pi,32,4096,0.398984
openMP-pi,32,4096,0.400436
mpi-pi,32,4096,0.40657799
mpi-pi++,32,4096,0.411446
cpp11-pi,32,8192,0.835632
openMP-pi,32,8192,0.818343
mpi-pi,32,8192,0.89164956
mpi-pi++,32,8192,0.846485
cpp11-pi,32,16384,1.63772
openMP-pi,32,16384,1.71768
mpi-pi,32,16384,1.70225953
mpi-pi++,32,16384,1.66947
cpp11-pi,32,1,0.001283
openMP-pi,32,1,0.001157
mpi-pi,32,1,0.00081444
mpi-pi++,32,1,0.000434489
cpp11-pi,32,2,0.001754
openMP-pi,32,2,0.002107
mpi-pi,32,2,0.00084171
mpi-pi++,32,2,0.000774393
cpp11-pi,32,4,0.003785
openMP-pi,32,4,0.002054
mpi-pi,32,4,0.00115107
mpi-pi++,32,4,0.0011366
cpp11-pi,32,8,0.001982
openMP-pi,32,8,0.002287
mpi-pi,32,8,0.00180495
mpi-pi++,32,8,0.00207168
cpp11-pi,32,16,0.002626
openMP-pi,32,16,0.002959
mpi-pi,32,16,0.00290821
mpi-pi++,32,16,0.00366388
cpp11-pi,32,32,0.004746
openMP-pi,32,32,0.004818
mpi-pi,32,32,0.00613023
mpi-pi++,32,32,0.00715482
cpp11-pi,32,64,0.007673
openMP-pi,32,64,0.009235
mpi-pi,32,64,0.01074855
mpi-pi++,32,64,0.0122351
cpp11-pi,32,128,0.014462
openMP-pi,32,128,0.015421
mpi-pi,32,128,0.01782479
mpi-pi++,32,128,0.0180867
cpp11-pi,32,256,0.029462
openMP-pi,32,256,0.029789
mpi-pi,32,256,0.03749534
mpi-pi++,32,256,0.0464634
cpp11-pi,32,512,0.057314
openMP-pi,32,512,0.058867
mpi-pi,32,512,0.05757061
mpi-pi++,32,512,0.0719995
cpp11-pi,32,1024,0.117435
openMP-pi,32,1024,0.11578
mpi-pi,32,1024,0.11867206
mpi-pi++,32,1024,0.119075
cpp11-pi,32,2048,0.234988
openMP-pi,32,2048,0.232113
mpi-pi,32,2048,0.23598352
mpi-pi++,32,2048,0.291404
cpp11-pi,32,4096,0.468374
openMP-pi,32,4096,0.46161
mpi-pi,32,4096,0.47351658
mpi-pi++,32,4096,0.476091
cpp11-pi,32,8192,0.93337
openMP-pi,32,8192,0.930376
mpi-pi,32,8192,0.94046216
mpi-pi++,32,8192,0.933936
cpp11-pi,32,16384,1.85209
openMP-pi,32,16384,1.84917
mpi-pi,32,16384,1.84558095
mpi-pi++,32,16384,1.86126
cpp11-pi,32,1,0.001464
openMP-pi,32,1,0.00115
mpi-pi,32,1,0.00076479
mpi-pi++,32,1,0.000415897
cpp11-pi,32,2,0.001482
openMP-pi,32,2,0.001268
mpi-pi,32,2,0.00083604
mpi-pi++,32,2,0.00111626
cpp11-pi,32,4,0.001783
openMP-pi,32,4,0.002708
mpi-pi,32,4,0.00107236
mpi-pi++,32,4,0.0014763
cpp11-pi,32,8,0.001815
openMP-pi,32,8,0.002304
mpi-pi,32,8,0.00151931
mpi-pi++,32,8,0.00217361
cpp11-pi,32,16,0.003335
openMP-pi,32,16,0.00342
mpi-pi,32,16,0.00314711
mpi-pi++,32,16,0.00384503
cpp11-pi,32,32,0.004519
openMP-pi,32,32,0.00474
mpi-pi,32,32,0.00590145
mpi-pi++,32,32,0.00633047
cpp11-pi,32,64,0.007734
openMP-pi,32,64,0.00776
mpi-pi,32,64,0.01277919
mpi-pi++,32,64,0.0103433
cpp11-pi,32,128,0.014698
openMP-pi,32,128,0.01541
mpi-pi,32,128,0.02042003
mpi-pi++,32,128,0.017305
cpp11-pi,32,256,0.028786
openMP-pi,32,256,0.030262
mpi-pi,32,256,0.03184708
mpi-pi++,32,256,0.0382868
cpp11-pi,32,512,0.057039
openMP-pi,32,512,0.057507
mpi-pi,32,512,0.06354413
mpi-pi++,32,512,0.0839335
cpp11-pi,32,1024,0.117478
openMP-pi,32,1024,0.11602
mpi-pi,32,1024,0.13080516
mpi-pi++,32,1024,0.126537
cpp11-pi,32,2048,0.234184
openMP-pi,32,2048,0.231929
mpi-pi,32,2048,0.24123027
mpi-pi++,32,2048,0.240457
cpp11-pi,32,4096,0.468373
openMP-pi,32,4096,0.461994
mpi-pi,32,4096,0.47261699
mpi-pi++,32,4096,0.471225
cpp11-pi,32,8192,0.961036
openMP-pi,32,8192,0.932483
mpi-pi,32,8192,0.94414997
mpi-pi++,32,8192,0.939588
cpp11-pi,32,16384,1.85239
openMP-pi,32,16384,1.85048
mpi-pi,32,16384,1.84178716
mpi-pi++,32,16384,1.86002
cpp11-pi,16,1,0.000833
openMP-pi,16,1,0.00089
mpi-pi,16,1,0.00060572
mpi-pi++,16,1,0.000879777
cpp11-pi,16,2,0.000853
openMP-pi,16,2,0.007321
mpi-pi,16,2,0.00077056
mpi-pi++,16,2,0.000807174
cpp11-pi,16,4,0.001737
openMP-pi,16,4,0.014679
mpi-pi,16,4,0.00134477
mpi-pi++,16,4,0.00135756
cpp11-pi,16,8,0.002926
openMP-pi,16,8,0.002381
mpi-pi,16,8,0.00286663
mpi-pi++,16,8,0.00256977
cpp11-pi,16,16,0.003927
openMP-pi,16,16,0.005006
mpi-pi,16,16,0.00486566
mpi-pi++,16,16,0.00511001
cpp11-pi,16,32,0.01066
openMP-pi,16,32,0.016276
mpi-pi,16,32,0.00846507
mpi-pi++,16,32,0.00636731
cpp11-pi,16,64,0.013089
openMP-pi,16,64,0.017035
mpi-pi,16,64,0.01331703
mpi-pi++,16,64,0.0177759
cpp11-pi,16,128,0.025582
openMP-pi,16,128,0.029045
mpi-pi,16,128,0.02582841
mpi-pi++,16,128,0.0280926
cpp11-pi,16,256,0.056412
openMP-pi,16,256,0.050398
mpi-pi,16,256,0.05168643
mpi-pi++,16,256,0.0607341
cpp11-pi,16,512,0.102341
openMP-pi,16,512,0.106445
mpi-pi,16,512,0.09899304
mpi-pi++,16,512,0.100536
cpp11-pi,16,1024,0.198242
openMP-pi,16,1024,0.198699
mpi-pi,16,1024,0.19778091
mpi-pi++,16,1024,0.198238
cpp11-pi,16,2048,0.396497
openMP-pi,16,2048,0.46304
mpi-pi,16,2048,0.40294402
mpi-pi++,16,2048,0.396706
cpp11-pi,16,4096,0.793534
openMP-pi,16,4096,0.83477
mpi-pi,16,4096,0.80235400
mpi-pi++,16,4096,0.798248
cpp11-pi,16,8192,1.79604
openMP-pi,16,8192,1.6237
mpi-pi,16,8192,1.61916953
mpi-pi++,16,8192,1.61003
cpp11-pi,16,16384,3.57383
openMP-pi,16,16384,3.35223
mpi-pi,16,16384,3.16026034
mpi-pi++,16,16384,3.30351
cpp11-pi,16,1,0.000683
openMP-pi,16,1,0.014033
mpi-pi,16,1,0.00063218
mpi-pi++,16,1,0.000443628
cpp11-pi,16,2,0.000737
openMP-pi,16,2,0.007108
mpi-pi,16,2,0.00081323
mpi-pi++,16,2,0.000610975
cpp11-pi,16,4,0.001553
openMP-pi,16,4,0.01449
mpi-pi,16,4,0.00112661
mpi-pi++,16,4,0.00133836
cpp11-pi,16,8,0.003631
openMP-pi,16,8,0.013882
mpi-pi,16,8,0.00246653
mpi-pi++,16,8,0.00171343
cpp11-pi,16,16,0.005808
openMP-pi,16,16,0.009279
mpi-pi,16,16,0.00482747
mpi-pi++,16,16,0.00497741
cpp11-pi,16,32,0.009637
openMP-pi,16,32,0.014529
mpi-pi,16,32,0.01026409
mpi-pi++,16,32,0.00687875
cpp11-pi,16,64,0.022714
openMP-pi,16,64,0.014852
mpi-pi,16,64,0.01448247
mpi-pi++,16,64,0.0195151
cpp11-pi,16,128,0.036134
openMP-pi,16,128,0.040429
mpi-pi,16,128,0.02731088
mpi-pi++,16,128,0.0318796
cpp11-pi,16,256,0.050293
openMP-pi,16,256,0.056475
mpi-pi,16,256,0.04933505
mpi-pi++,16,256,0.0499791
cpp11-pi,16,512,0.099838
openMP-pi,16,512,0.103209
mpi-pi,16,512,0.10211862
mpi-pi++,16,512,0.0986244
cpp11-pi,16,1024,0.237332
openMP-pi,16,1024,0.235339
mpi-pi,16,1024,0.19840295
mpi-pi++,16,1024,0.20595
cpp11-pi,16,2048,0.396011
openMP-pi,16,2048,0.507774
mpi-pi,16,2048,0.39518971
mpi-pi++,16,2048,0.397142
cpp11-pi,16,4096,0.799897
openMP-pi,16,4096,1.04145
mpi-pi,16,4096,0.78879604
mpi-pi++,16,4096,0.85716
cpp11-pi,16,8192,1.67918
openMP-pi,16,8192,1.90259
mpi-pi,16,8192,1.59401243
mpi-pi++,16,8192,1.61497
cpp11-pi,16,16384,3.27872
openMP-pi,16,16384,3.2665
mpi-pi,16,16384,3.15512755
mpi-pi++,16,16384,3.1617
cpp11-pi,16,1,0.000772
openMP-pi,16,1,0.009453
mpi-pi,16,1,0.00044530
mpi-pi++,16,1,0.000622205
cpp11-pi,16,2,0.000831
openMP-pi,16,2,0.009891
mpi-pi,16,2,0.00070230
mpi-pi++,16,2,0.000776921
cpp11-pi,16,4,0.001529
openMP-pi,16,4,0.009687
mpi-pi,16,4,0.00134896
mpi-pi++,16,4,0.00131798
cpp11-pi,16,8,0.002499
openMP-pi,16,8,0.015842
mpi-pi,16,8,0.00272128
mpi-pi++,16,8,0.00246122
cpp11-pi,16,16,0.005596
openMP-pi,16,16,0.013905
mpi-pi,16,16,0.00519029
mpi-pi++,16,16,0.00534616
cpp11-pi,16,32,0.009843
openMP-pi,16,32,0.007832
mpi-pi,16,32,0.00683603
mpi-pi++,16,32,0.00943888
cpp11-pi,16,64,0.020295
openMP-pi,16,64,0.026626
mpi-pi,16,64,0.01266419
mpi-pi++,16,64,0.0146085
cpp11-pi,16,128,0.037659
openMP-pi,16,128,0.040991
mpi-pi,16,128,0.02504289
mpi-pi++,16,128,0.0356007
cpp11-pi,16,256,0.058366
openMP-pi,16,256,0.051802
mpi-pi,16,256,0.04997593
mpi-pi++,16,256,0.0494513
cpp11-pi,16,512,0.099394
openMP-pi,16,512,0.161743
mpi-pi,16,512,0.09852628
mpi-pi++,16,512,0.0985895
cpp11-pi,16,1024,0.197481
openMP-pi,16,1024,0.203314
mpi-pi,16,1024,0.19937049
mpi-pi++,16,1024,0.198452
cpp11-pi,16,2048,0.395205
openMP-pi,16,2048,0.40147
mpi-pi,16,2048,0.39710458
mpi-pi++,16,2048,0.414611
cpp11-pi,16,4096,0.791144
openMP-pi,16,4096,0.796403
mpi-pi,16,4096,0.79194017
mpi-pi++,16,4096,0.79292
cpp11-pi,16,8192,1.66902
openMP-pi,16,8192,2.28946
mpi-pi,16,8192,1.59630931
mpi-pi++,16,8192,1.6231
cpp11-pi,16,16384,3.26908
openMP-pi,16,16384,3.30058
mpi-pi,16,16384,3.16226723
mpi-pi++,16,16384,3.15587
cpp11-pi,16,1,0.000882
openMP-pi,16,1,0.014494
mpi-pi,16,1,0.00060159
mpi-pi++,16,1,0.000638656
cpp11-pi,16,2,0.001109
openMP-pi,16,2,0.0048
mpi-pi,16,2,0.00100006
mpi-pi++,16,2,0.000914267
cpp11-pi,16,4,0.001874
openMP-pi,16,4,0.007548
mpi-pi,16,4,0.00165561
mpi-pi++,16,4,0.00188858
cpp11-pi,16,8,0.003054
openMP-pi,16,8,0.014484
mpi-pi,16,8,0.00266301
mpi-pi++,16,8,0.00301757
cpp11-pi,16,16,0.005567
openMP-pi,16,16,0.005173
mpi-pi,16,16,0.00607146
mpi-pi++,16,16,0.00491724
cpp11-pi,16,32,0.01494
openMP-pi,16,32,0.013543
mpi-pi,16,32,0.01008460
mpi-pi++,16,32,0.0101267
cpp11-pi,16,64,0.019873
openMP-pi,16,64,0.016484
mpi-pi,16,64,0.02019371
mpi-pi++,16,64,0.0151159
cpp11-pi,16,128,0.030363
openMP-pi,16,128,0.033294
mpi-pi,16,128,0.03399389
mpi-pi++,16,128,0.0301661
cpp11-pi,16,256,0.059465
openMP-pi,16,256,0.0645
mpi-pi,16,256,0.06400477
mpi-pi++,16,256,0.0589004
cpp11-pi,16,512,0.120314
openMP-pi,16,512,0.124043
mpi-pi,16,512,0.11985995
mpi-pi++,16,512,0.117253
cpp11-pi,16,1024,0.234377
openMP-pi,16,1024,0.243338
mpi-pi,16,1024,0.24622687
mpi-pi++,16,1024,0.236211
cpp11-pi,16,2048,0.472219
openMP-pi,16,2048,0.484378
mpi-pi,16,2048,0.47163709
mpi-pi++,16,2048,0.473252
cpp11-pi,16,4096,0.938688
openMP-pi,16,4096,0.950102
mpi-pi,16,4096,0.94905980
mpi-pi++,16,4096,0.939836
cpp11-pi,16,8192,1.91063
openMP-pi,16,8192,1.95206
mpi-pi,16,8192,1.89212142
mpi-pi++,16,8192,1.87778
cpp11-pi,16,16384,3.75222
openMP-pi,16,16384,3.95412
mpi-pi,16,16384,3.75606403
mpi-pi++,16,16384,3.7511
cpp11-pi,16,1,0.001005
openMP-pi,16,1,0.010313
mpi-pi,16,1,0.00049233
mpi-pi++,16,1,0.000609102
cpp11-pi,16,2,0.001416
openMP-pi,16,2,0.010094
mpi-pi,16,2,0.00095669
mpi-pi++,16,2,0.000918144
cpp11-pi,16,4,0.001625
openMP-pi,16,4,0.010366
mpi-pi,16,4,0.00182244
mpi-pi++,16,4,0.00143032
cpp11-pi,16,8,0.004115
openMP-pi,16,8,0.010736
mpi-pi,16,8,0.00318857
mpi-pi++,16,8,0.00309631
cpp11-pi,16,16,0.007425
openMP-pi,16,16,0.015964
mpi-pi,16,16,0.00405498
mpi-pi++,16,16,0.00403422
cpp11-pi,16,32,0.013376
openMP-pi,16,32,0.017869
mpi-pi,16,32,0.00823985
mpi-pi++,16,32,0.0111825
cpp11-pi,16,64,0.018858
openMP-pi,16,64,0.020002
mpi-pi,16,64,0.02352938
mpi-pi++,16,64,0.0232132
