,cpp11-pi, openMP-pi, mpi-pi++, mpi-pi
1 ,0.105692,0.034989,0.0787188,0.08025686
2 ,0.08143,0.035887,0.078623,0.07810208
3 ,0.035298,0.035671,0.078639,0.08674949
4 ,0.082481,0.036316,0.0797188,0.07837530
5 ,0.080965,0.034418,0.08144,0.08501615
6 ,0.033929,0.062897,0.0794456,0.07797888
7 ,0.035272,0.035388,0.0780734,0.07828794
8 ,0.076066,0.034994,0.0786206,0.07818055
9 ,0.082032,0.035813,0.0809148,0.07965944
10 ,0.03513,0.034842,0.077006,0.08032600
