,cpp11-pi, openMP-pi, mpi-pi++, mpi-pi
1 ,0.078666,0.065893,0.14316,0.14398106
2 ,0.072457,0.066932,0.143497,0.14556531
3 ,0.07999,0.07091,0.13979,0.13424716
4 ,0.077441,0.064033,0.141423,0.14122108
5 ,0.08135,0.065327,0.142192,0.13594797
6 ,0.076015,0.064313,0.140429,0.13791668
7 ,0.066224,0.064318,0.14149,0.14443619
8 ,0.083092,0.064406,0.139186,0.14074216
9 ,0.067315,0.064834,0.143807,0.13591316
10 ,0.077238,0.063924,0.140639,0.14236398
