name,threads,n,run,duration
mpi-pi,8,1,7,0.03038592
mpi-pi++,8,1,7,0.0301771
cpp11-pi,8,1,8,0.000322
openMP-pi,8,1,8,0.000499
mpi-pi,8,1,8,0.03032069
mpi-pi++,8,1,8,0.0302072
cpp11-pi,8,1,9,0.000316
openMP-pi,8,1,9,0.000703
mpi-pi,8,1,9,0.03017123
mpi-pi++,8,1,9,0.0301272
cpp11-pi,8,1,10,0.000401
openMP-pi,8,1,10,0.00175
mpi-pi,8,1,10,0.02036485
mpi-pi++,8,1,10,0.0301343
cpp11-pi,1,2,1,0.002049
openMP-pi,1,2,1,0.002495
mpi-pi,1,2,1,0.00216943
mpi-pi++,1,2,1,0.00183868
cpp11-pi,1,2,2,0.002038
openMP-pi,1,2,2,0.005433
mpi-pi,1,2,2,0.00177097
mpi-pi++,1,2,2,0.00199754
cpp11-pi,1,2,3,0.00199
openMP-pi,1,2,3,0.002232
mpi-pi,1,2,3,0.00183437
mpi-pi++,1,2,3,0.00176782
cpp11-pi,1,2,4,0.00634
openMP-pi,1,2,4,0.007393
mpi-pi,1,2,4,0.00189259
mpi-pi++,1,2,4,0.00175019
cpp11-pi,1,2,5,0.006927
openMP-pi,1,2,5,0.002365
mpi-pi,1,2,5,0.00179641
mpi-pi++,1,2,5,0.00178948
cpp11-pi,1,2,6,0.006109
openMP-pi,1,2,6,0.005758
mpi-pi,1,2,6,0.00182974
mpi-pi++,1,2,6,0.00176258
cpp11-pi,1,2,7,0.006722
openMP-pi,1,2,7,0.002723
mpi-pi,1,2,7,0.00177847
mpi-pi++,1,2,7,0.00177899
cpp11-pi,1,2,8,0.006554
openMP-pi,1,2,8,0.00729
mpi-pi,1,2,8,0.00188203
mpi-pi++,1,2,8,0.00177253
cpp11-pi,1,2,9,0.005857
openMP-pi,1,2,9,0.006584
mpi-pi,1,2,9,0.00180061
mpi-pi++,1,2,9,0.00182733
cpp11-pi,1,2,10,0.006751
openMP-pi,1,2,10,0.010344
mpi-pi,1,2,10,0.00188880
mpi-pi++,1,2,10,0.0019022
cpp11-pi,2,2,1,0.001014
openMP-pi,2,2,1,0.001674
mpi-pi,2,2,1,0.00104487
mpi-pi++,2,2,1,0.011
cpp11-pi,2,2,2,0.001044
openMP-pi,2,2,2,0.002012
mpi-pi,2,2,2,0.01113688
mpi-pi++,2,2,2,0.0111132
cpp11-pi,2,2,3,0.001222
openMP-pi,2,2,3,0.007069
mpi-pi,2,2,3,0.01108421
mpi-pi++,2,2,3,0.010972
cpp11-pi,2,2,4,0.001035
openMP-pi,2,2,4,0.001547
mpi-pi,2,2,4,0.01094477
mpi-pi++,2,2,4,0.0110507
cpp11-pi,2,2,5,0.00103
openMP-pi,2,2,5,0.001352
mpi-pi,2,2,5,0.00158195
mpi-pi++,2,2,5,0.0108322
cpp11-pi,2,2,6,0.003033
openMP-pi,2,2,6,0.005258
mpi-pi,2,2,6,0.01091926
mpi-pi++,2,2,6,0.0110221
cpp11-pi,2,2,7,0.001001
openMP-pi,2,2,7,0.002682
mpi-pi,2,2,7,0.01096562
mpi-pi++,2,2,7,0.0109276
cpp11-pi,2,2,8,0.001038
openMP-pi,2,2,8,0.002035
mpi-pi,2,2,8,0.01092014
mpi-pi++,2,2,8,0.0108352
cpp11-pi,2,2,9,0.003399
openMP-pi,2,2,9,0.002092
mpi-pi,2,2,9,0.01095147
mpi-pi++,2,2,9,0.0108718
cpp11-pi,2,2,10,0.002639
openMP-pi,2,2,10,0.005927
mpi-pi,2,2,10,0.00110406
mpi-pi++,2,2,10,0.0109475
cpp11-pi,4,2,1,0.000641
openMP-pi,4,2,1,0.001186
mpi-pi,4,2,1,0.01061518
mpi-pi++,4,2,1,0.0205345
cpp11-pi,4,2,2,0.000642
openMP-pi,4,2,2,0.000958
mpi-pi,4,2,2,0.02049818
mpi-pi++,4,2,2,0.0205262
cpp11-pi,4,2,3,0.000583
openMP-pi,4,2,3,0.000934
mpi-pi,4,2,3,0.02048085
mpi-pi++,4,2,3,0.0205027
cpp11-pi,4,2,4,0.00057
openMP-pi,4,2,4,0.000926
mpi-pi,4,2,4,0.02050901
mpi-pi++,4,2,4,0.0206334
cpp11-pi,4,2,5,0.000571
openMP-pi,4,2,5,0.001278
mpi-pi,4,2,5,0.02055587
mpi-pi++,4,2,5,0.0204846
cpp11-pi,4,2,6,0.000597
openMP-pi,4,2,6,0.000963
mpi-pi,4,2,6,0.01051334
mpi-pi++,4,2,6,0.0105206
cpp11-pi,4,2,7,0.001367
openMP-pi,4,2,7,0.002567
mpi-pi,4,2,7,0.02051515
mpi-pi++,4,2,7,0.0209253
cpp11-pi,4,2,8,0.001002
openMP-pi,4,2,8,0.001894
mpi-pi,4,2,8,0.02047874
mpi-pi++,4,2,8,0.0206083
cpp11-pi,4,2,9,0.000674
openMP-pi,4,2,9,0.000924
mpi-pi,4,2,9,0.02046083
mpi-pi++,4,2,9,0.0206015
cpp11-pi,4,2,10,0.000569
openMP-pi,4,2,10,0.001102
mpi-pi,4,2,10,0.02050592
mpi-pi++,4,2,10,0.0204881
cpp11-pi,8,2,1,0.000447
openMP-pi,8,2,1,0.000896
mpi-pi,8,2,1,0.02057885
mpi-pi++,8,2,1,0.0303366
cpp11-pi,8,2,2,0.000462
openMP-pi,8,2,2,0.000786
mpi-pi,8,2,2,0.03035144
mpi-pi++,8,2,2,0.0302318
cpp11-pi,8,2,3,0.000384
openMP-pi,8,2,3,0.001451
mpi-pi,8,2,3,0.03043476
mpi-pi++,8,2,3,0.0303033
cpp11-pi,8,2,4,0.000428
openMP-pi,8,2,4,0.000825
mpi-pi,8,2,4,0.03031276
mpi-pi++,8,2,4,0.0302588
cpp11-pi,8,2,5,0.000547
openMP-pi,8,2,5,0.000761
mpi-pi,8,2,5,0.03035848
mpi-pi++,8,2,5,0.0303628
cpp11-pi,8,2,6,0.000445
openMP-pi,8,2,6,0.00063
mpi-pi,8,2,6,0.03029175
mpi-pi++,8,2,6,0.0205224
cpp11-pi,8,2,7,0.000391
openMP-pi,8,2,7,0.000743
mpi-pi,8,2,7,0.02046328
mpi-pi++,8,2,7,0.0303502
cpp11-pi,8,2,8,0.000468
openMP-pi,8,2,8,0.0009
mpi-pi,8,2,8,0.03031799
mpi-pi++,8,2,8,0.0205072
cpp11-pi,8,2,9,0.000659
openMP-pi,8,2,9,0.000694
mpi-pi,8,2,9,0.03026478
mpi-pi++,8,2,9,0.0303523
cpp11-pi,8,2,10,0.000427
