name,threads,matrix_size,run,duration,sum
openmp,64,1,12,0.002727000000,-23461865.153719205409
openmp-inverted,64,1,12,0.002579000000,-23461865.153719205409
rayon,64,1,12,0.00000184,-23461865.153719205
rayon-faithful-pairs,64,1,12,0.000001031,-23461865.153719205
rayon-faithful-mutex,64,1,12,0.00000539,-23461865.153719205
rayon-faithful-iterators,64,1,12,0.00000422,-23461865.153719205
rayon-faithful-unsafe,64,1,12,0.000003,-23461865.153719205
openmp,64,2,12,0.002571000000,-27511150.590520419180
openmp-inverted,64,2,12,0.002555000000,-27511150.590520419180
rayon,64,2,12,0.000067833,-27511150.59052042
rayon-faithful-pairs,64,2,12,0.000051852,-27511150.59052042
rayon-faithful-mutex,64,2,12,0.000086823,-27511150.59052042
rayon-faithful-iterators,64,2,12,0.000327502,-27511150.59052042
rayon-faithful-unsafe,64,2,12,0.000070893,-27511150.59052042
openmp,64,4,12,0.002642000000,-115228317.402121618390
openmp-inverted,64,4,12,0.011579000000,-115228317.402121618390
rayon,64,4,12,0.000452077,-115228317.40212162
rayon-faithful-pairs,64,4,12,0.000326001,-115228317.40212162
rayon-faithful-mutex,64,4,12,0.000203797,-115228317.40212162
rayon-faithful-iterators,64,4,12,0.000434456,-115228317.40212162
rayon-faithful-unsafe,64,4,12,0.000347422,-115228317.40212162
openmp,64,8,12,0.002736000000,134985438.834840863943
openmp-inverted,64,8,12,0.002851000000,134985438.834840863943
rayon,64,8,12,0.000528359,134985438.83484086
rayon-faithful-pairs,64,8,12,0.00082858,134985438.83484086
rayon-faithful-mutex,64,8,12,0.000450446,134985438.83484086
rayon-faithful-iterators,64,8,12,0.001062798,134985438.83484086
rayon-faithful-unsafe,64,8,12,0.000619472,134985438.83484086
openmp,64,16,12,0.002785000000,-667700378.199033737183
openmp-inverted,64,16,12,0.002743000000,-667700378.199033737183
rayon,64,16,12,0.000985405,-667700378.1990337
rayon-faithful-pairs,64,16,12,0.001224883,-667700378.1990337
rayon-faithful-mutex,64,16,12,0.000560269,-667700378.1990337
rayon-faithful-iterators,64,16,12,0.000926943,-667700378.1990337
rayon-faithful-unsafe,64,16,12,0.000742836,-667700378.1990337
openmp,64,32,12,0.002903000000,2620243803.601380348206
openmp-inverted,64,32,12,0.002661000000,2620243803.601380348206
rayon,64,32,12,0.000927723,2620243803.6013803
rayon-faithful-pairs,64,32,12,0.000987695,2620243803.6013803
rayon-faithful-mutex,64,32,12,0.001088039,2620243803.6013803
rayon-faithful-iterators,64,32,12,0.00084963,2620243803.6013803
rayon-faithful-unsafe,64,32,12,0.001429851,2620243803.6013803
openmp,64,64,12,0.002884000000,-9530974703.189996719360
openmp-inverted,64,64,12,0.002800000000,-9530974703.189996719360
rayon,64,64,12,0.001277826,-9530974703.189997
rayon-faithful-pairs,64,64,12,0.001250515,-9530974703.189997
rayon-faithful-mutex,64,64,12,0.00252348,-9530974703.189997
rayon-faithful-iterators,64,64,12,0.002299402,-9530974703.189997
rayon-faithful-unsafe,64,64,12,0.001177602,-9530974703.189997
openmp,64,128,12,0.003193000000,29556590193.685024261475
openmp-inverted,64,128,12,0.003080000000,29556590193.685024261475
rayon,64,128,12,0.003499345,29556590193.685024
rayon-faithful-pairs,64,128,12,0.001855696,29556590193.685024
rayon-faithful-mutex,64,128,12,0.006112918,29556590193.685024
rayon-faithful-iterators,64,128,12,0.005715914,29556590193.685024
rayon-faithful-unsafe,64,128,12,0.001189542,29556590193.685024
openmp,64,256,12,0.004589000000,1446224720.536961793900
openmp-inverted,64,256,12,0.004657000000,1446224720.536961793900
rayon,64,256,12,0.006203431,1446224720.5369618
rayon-faithful-pairs,64,256,12,0.003667151,1446224720.5369618
rayon-faithful-mutex,64,256,12,0.018613424,1446224720.5369618
rayon-faithful-iterators,64,256,12,0.006577445,1446224720.5369618
rayon-faithful-unsafe,64,256,12,0.003047248,1446224720.5369618
openmp,64,512,12,0.017136000000,-38545578895.188568115234
openmp-inverted,64,512,12,0.009578000000,-38545578895.188568115234
rayon,64,512,12,0.022393619,-38545578895.18857
rayon-faithful-pairs,64,512,12,0.013638926,-38545578895.18857
rayon-faithful-mutex,64,512,12,0.081026102,-38545578895.18857
rayon-faithful-iterators,64,512,12,0.01934946,-38545578895.18857
rayon-faithful-unsafe,64,512,12,0.013374448,-38545578895.18857
openmp,64,1024,12,0.187220000000,1271291706541.389160156250
openmp-inverted,64,1024,12,0.030897000000,1271291706541.389160156250
rayon,64,1024,12,0.057109318,1271291706541.3892
rayon-faithful-pairs,64,1024,12,0.097009692,1271291706541.3892
rayon-faithful-mutex,64,1024,12,0.358072859,1271291706541.3892
rayon-faithful-iterators,64,1024,12,0.138891827,1271291706541.3892
rayon-faithful-unsafe,64,1024,12,0.092103386,1271291706541.3892
openmp,64,2048,12,2.071652000000,-1094390743668.999633789062
openmp-inverted,64,2048,12,0.199434000000,-1094390743668.999633789062
rayon,64,2048,12,0.22052225,-1094390743668.9996
rayon-faithful-pairs,64,2048,12,0.894881227,-1094390743668.9996
rayon-faithful-mutex,64,2048,12,1.528329483,-1094390743668.9996
rayon-faithful-iterators,64,2048,12,1.002067282,-1094390743668.9996
rayon-faithful-unsafe,64,2048,12,0.871237433,-1094390743668.9996
openmp,64,4096,12,53.330284000000,10774528965559.203125000000
openmp-inverted,64,4096,12,2.093670000000,10774528965559.203125000000
rayon,64,4096,12,2.5493902840000002,10774528965559.203
rayon-faithful-pairs,64,4096,12,12.035433316,10774528965559.203
rayon-faithful-mutex,64,4096,12,12.805511528,10774528965559.203
rayon-faithful-iterators,64,4096,12,13.386312427,10774528965559.203
rayon-faithful-unsafe,64,4096,12,13.664954731,10774528965559.203
openmp,64,1,7,0.016377000000,-3640580.338655475527
openmp-inverted,64,1,7,0.014033000000,-3640580.338655475527
rayon,64,1,7,0.00000178,-3640580.3386554755
rayon-faithful-pairs,64,1,7,0.00000066,-3640580.3386554755
rayon-faithful-mutex,64,1,7,0.00000366,-3640580.3386554755
rayon-faithful-iterators,64,1,7,0.00000263,-3640580.3386554755
rayon-faithful-unsafe,64,1,7,0.00000186,-3640580.3386554755
openmp,64,2,7,0.015415000000,-30901599.270834717900
openmp-inverted,64,2,7,0.005186000000,-30901599.270834717900
rayon,64,2,7,0.000118614,-30901599.270834718
rayon-faithful-pairs,64,2,7,0.000036411,-30901599.270834718
rayon-faithful-mutex,64,2,7,0.000036682,-30901599.270834718
rayon-faithful-iterators,64,2,7,0.000042591,-30901599.270834718
rayon-faithful-unsafe,64,2,7,0.000104263,-30901599.270834718
openmp,64,4,7,0.012490000000,257417961.447099804878
openmp-inverted,64,4,7,0.008319000000,257417961.447099804878
rayon,64,4,7,0.000762686,257417961.4470998
rayon-faithful-pairs,64,4,7,0.000703464,257417961.4470998
rayon-faithful-mutex,64,4,7,0.000554089,257417961.4470998
rayon-faithful-iterators,64,4,7,0.000924831,257417961.4470998
rayon-faithful-unsafe,64,4,7,0.000444805,257417961.4470998
openmp,64,8,7,0.012863000000,-98871831.896852821112
openmp-inverted,64,8,7,0.010250000000,-98871831.896852821112
rayon,64,8,7,0.001509631,-98871831.89685282
rayon-faithful-pairs,64,8,7,0.001051116,-98871831.89685282
rayon-faithful-mutex,64,8,7,0.000912121,-98871831.89685282
rayon-faithful-iterators,64,8,7,0.001100867,-98871831.89685282
rayon-faithful-unsafe,64,8,7,0.001610204,-98871831.89685282
openmp,64,16,7,0.015780000000,-1701491445.031450510025
openmp-inverted,64,16,7,0.008764000000,-1701491445.031450510025
rayon,64,16,7,0.001627284,-1701491445.0314505
rayon-faithful-pairs,64,16,7,0.001028635,-1701491445.0314505
rayon-faithful-mutex,64,16,7,0.001399957,-1701491445.0314505
rayon-faithful-iterators,64,16,7,0.001451958,-1701491445.0314505
rayon-faithful-unsafe,64,16,7,0.00149635,-1701491445.0314505
openmp,64,32,7,0.004209000000,3398605158.915914058685
openmp-inverted,64,32,7,0.008580000000,3398605158.915914058685
rayon,64,32,7,0.002255646,3398605158.915914
rayon-faithful-pairs,64,32,7,0.001688196,3398605158.915914
rayon-faithful-mutex,64,32,7,0.002546676,3398605158.915914
rayon-faithful-iterators,64,32,7,0.003001051,3398605158.915914
rayon-faithful-unsafe,64,32,7,0.001818411,3398605158.915914
openmp,64,64,7,0.019028000000,-37797394328.060852050781
openmp-inverted,64,64,7,0.017673000000,-37797394328.060852050781
rayon,64,64,7,0.002640859,-37797394328.06085
rayon-faithful-pairs,64,64,7,0.001876413,-37797394328.06085
rayon-faithful-mutex,64,64,7,0.003920121,-37797394328.06085
rayon-faithful-iterators,64,64,7,0.004267873,-37797394328.06085
rayon-faithful-unsafe,64,64,7,0.002129142,-37797394328.06085
openmp,64,128,7,0.008890000000,-15083867953.058610916138
openmp-inverted,64,128,7,0.006790000000,-15083867953.058610916138
rayon,64,128,7,0.005006468,-15083867953.05861
rayon-faithful-pairs,64,128,7,0.001945136,-15083867953.05861
rayon-faithful-mutex,64,128,7,0.005265977,-15083867953.05861
rayon-faithful-iterators,64,128,7,0.003123094,-15083867953.05861
rayon-faithful-unsafe,64,128,7,0.001894124,-15083867953.05861
openmp,64,256,7,0.007406000000,19911584493.134334564209
openmp-inverted,64,256,7,0.005691000000,19911584493.134334564209
rayon,64,256,7,0.006518619,19911584493.134335
rayon-faithful-pairs,64,256,7,0.00326897,19911584493.134335
rayon-faithful-mutex,64,256,7,0.02411558,19911584493.134335
rayon-faithful-iterators,64,256,7,0.004526031,19911584493.134335
rayon-faithful-unsafe,64,256,7,0.002001537,19911584493.134335
openmp,64,512,7,0.023018000000,-181088408840.734039306641
openmp-inverted,64,512,7,0.028267000000,-181088408840.734039306641
rayon,64,512,7,0.023326244,-181088408840.73404
