name,slurm_node,vectorization,randomness,run_id,nodes,cpus,tasks_per_node,width,height,rounds,size,threads,core_duration,core_duration_per_cell,top_bottom_duration,top_bottom_duration_per_cell,calculation_duration,calculation_duration_per_cell,communication_duration,total_duration,render_duration,images
lgca-10000-real,lxbk1029,avx512,real,20036623,1,48,1,10000,10000,1000,1,48,10.810740157,0.1081290273754751,0.139477115,6.97385575,10.950217272,0.10950217272,0.000423667,10.950640939,0,0
lgca-10000,lxbk1029,avx512,fake,20036623,1,48,1,10000,10000,1000,1,96,3.108691909,0.031093137717543507,0.156159207,7.80796035,3.264851116,0.03264851116,0.000677731,3.265528847,0,0
lgca-10000-avx2,lxbk1029,avx2,fake,20036623,1,48,1,10000,10000,1000,1,96,3.053191497,0.030538022574514902,0.139292327,6.96461635,3.192483824,0.03192483824,0.000747014,3.193230838,0,0
lgca-10000-real,lxbk1029,avx512,real,20036623,1,48,1,10000,10000,1000,1,96,8.901289788,0.08903070402080417,0.155238367,7.76191835,9.056528155,0.09056528155,0.000844191,9.057372346,0,0
lgca-100,lxbk1029,avx512,fake,20036623,1,48,1,100,100,1000,1,48,0.059154741,6.03619806122449,0.002879589,14.397945,0.06203433,6.203433,0.000074618,0.062108948,0,0
lgca-1000,lxbk1029,avx512,fake,20036623,1,48,1,1000,1000,1000,1,48,0.13515122,0.13542206412825653,0.018036175,9.0180875,0.153187395,0.153187395,0.000075635,0.15326303,0,0
lgca-10000,lxbk1029,avx512,fake,20036623,1,48,1,10000,10000,1000,1,48,3.052804795,0.030534154780956193,0.141064104,7.0532052,3.193868899,0.03193868899,0.000425708,3.194294607,0,0
lgca-10000,lxbk1029,avx512,fake,20036623,1,24,2,10000,5000,1000,2,24,1.109675902,0.01110119949979992,0.060659959,1.516498975,1.170335861,0.01170335861,0.043451189,1.21378705,0,0
lgca-10000,lxbk1029,avx512,fake,20036623,1,16,3,10000,3334,1000,3,16,0.80858383,0.008089073929571828,0.070584245,1.1764040833333334,0.879168075,0.008789922765446911,0.817459859,1.696627934,0,0
lgca-10000,lxbk1029,avx512,fake,20036623,1,12,4,10000,2500,1000,4,12,1.003240512,0.010040437469975983,0.066869636,0.8358704499999999,1.070110148,0.01070110148,0.054693339,1.124803487,0,0
lgca-10000,lxbk1029,avx512,fake,20036623,1,8,6,10000,1668,1000,6,8,0.95739405,0.009577771608643457,0.110081624,0.9173468666666666,1.067475674,0.010666223760991207,0.018908012,1.086383686,0,0
lgca-10000,lxbk1029,avx512,fake,20036623,1,6,8,10000,1250,1000,8,6,0.938156047,0.009396595022035256,0.075037748,0.468985925,1.013193795,0.010131937950000001,0.064481702,1.077675497,0,0
lgca-10000,lxbk1029,avx512,fake,20036623,1,4,12,10000,834,1000,12,4,0.932900094,0.00934395126201923,0.083257348,0.3469056166666667,1.016157442,0.01015345165867306,0.079352718,1.09551016,0,0
lgca-10000,lxbk1029,avx512,fake,20036623,1,2,24,10000,418,1000,24,2,0.870000928,0.008713951602564102,0.091689077,0.19101891041666666,0.961690005,0.00958622413277512,0.195422333,1.157112338,0,0
