implementation,name,batch,run,nodes,tasks_per_node,tasks,cpus,entries,total_ram,ram_per_task,reading_the_input,dividing_the_input_into_buckets,sending_to_workers,writing_to_disk,receiving_from_workers,fetching_time_from_workers,receiving_on_worker,sorting_on_worker,sending_to_manager,duration
sort-unstable,sort1M.data,65,1,1,1,1,1,1048576,2000,2000,0.035388547,0,0,0.039735624,0,0,0,0.113929251,0,0.189619132
radix-sort,sort1M.data,65,2,1,1,1,1,1048576,2000,2000,0.03481639,0,0,0.038631822,0,0,0,0.111491654,0,0.185294163
sort-unstable,sort1M.data,65,2,1,1,1,1,1048576,2000,2000,0.035471306,0,0,0.038129879,0,0,0,0.118345549,0,0.192495297
radix-sort,sort1M.data,65,3,1,1,1,1,1048576,2000,2000,0.035262434,0,0,0.037988596,0,0,0,0.114559815,0,0.188160094
sort-unstable,sort1M.data,65,3,1,1,1,1,1048576,2000,2000,0.035251056,0,0,0.038253819,0,0,0,0.117348824,0,0.191382413
mpi-multi,sort64K.data,40,0,1,2,2,8,65536,2026,1013,0.001653095,0.004196196,0.019903569,0.00481339,0.001428553,0.000272665,0.036324,0.002183,0.008372,0.02689834
mpi-multi,sort64K.data,40,1,1,2,2,8,65536,2026,1013,0.0018803,0.004185277,0.022370997,0.00472052,0.001534684,0.00031017,0.015697,0.003467,0.008331,0.028148116
mpi-multi,sort64K.data,40,2,1,2,2,8,65536,2026,1013,0.002401163,0.00482302,0.021564435,0.004640283,0.001505359,0.000288223,0.017937,0.002723,0.008382,0.029475566
mpi-multi,sort64K.data,40,3,1,2,2,8,65536,2026,1013,0.002626507,0.005008032,0.02145631,0.005183566,0.001575299,0.000271342,0.01868,0.002598,0.008948,0.030331997
mpi-multi,sort4K.data,14,0,1,2,2,8,4096,2000,1000,0.000614488,0.030768067,0.008165628,0.005143982,0.000396119,0.000015814,0.044625,0.003096,0.006688,0.045345024
mpi-multi,sort4K.data,14,1,1,2,2,8,4096,2000,1000,0.000574664,0.059770122,0.00803288,0.005070222,0.00038418,0.000017665,0.064711,0.003046,0.006806,0.074718536
mpi-multi,sort4K.data,14,2,1,2,2,8,4096,2000,1000,0.000832568,0.040153163,0.008133742,0.00518108,0.000391364,0.00001571,0.045544,0.003188,0.006739,0.055257351
mpi-multi,sort4K.data,14,3,1,2,2,8,4096,2000,1000,0.000709162,0.002669376,0.007639259,0.005106152,0.000379856,0.000012997,0.007104,0.002898,0.006378,0.016542612
mpi-multi,sort16K.data,27,0,1,2,2,8,16384,2006,1003,0.001774611,0.089147,0.010028538,0.004011449,0.001106059,0.000026995,0.101607,0.00251,0.006879,0.105155338
mpi-multi,sort16K.data,27,1,1,2,2,8,16384,2006,1003,0.001320054,0.089428745,0.010266143,0.003924779,0.000826674,0.000026101,0.096125,0.00265,0.006551,0.105418681
mpi-multi,sort16K.data,27,2,1,2,2,8,16384,2006,1003,0.001201046,0.089673206,0.010734206,0.003973464,0.000887758,0.000025949,0.096164,0.002806,0.006618,0.105687303
mpi-multi,sort16K.data,27,3,1,2,2,8,16384,2006,1003,0.001903719,0.090170418,0.009294823,0.003736497,0.000875065,0.000022895,0.097341,0.002136,0.006409,0.106000414
mpi-multi,sort256K.data,53,0,1,2,2,8,262144,2104,1052,0.002341352,0.103100821,0.069484451,0.006632201,0.005315005,0.001329174,0.350631,0.003989,0.017217,0.159834165
mpi-multi,sort256K.data,53,1,1,2,2,8,262144,2104,1052,0.003630839,0.100787913,0.066381022,0.008426957,0.005409108,0.001376447,0.138375,0.001954,0.019555,0.160035256
mpi-multi,sort256K.data,53,2,1,2,2,8,262144,2104,1052,0.002640264,0.100439694,0.076526861,0.007103761,0.00539231,0.001447215,0.138118,0.006076,0.018159,0.162518598
mpi-multi,sort256K.data,53,3,1,2,2,8,262144,2104,1052,0.00251697,0.100894116,0.078530325,0.007075711,0.004530868,0.001171902,0.137067,0.007807,0.01667,0.161698479
mpi-multi,sort1K.data,1,0,1,2,2,8,1024,2000,1000,0.000168968,0.000907785,0.006780654,0.002884034,0.000294145,0.000006496,0.006551,0.00281,0.003823,0.011407366
mpi-multi,sort1K.data,1,1,1,2,2,8,1024,2000,1000,0.000178,0.000845464,0.007474754,0.002800157,0.000283619,0.00000626,0.00443,0.003256,0.003706,0.011516086
mpi-multi,sort1K.data,1,2,1,2,2,8,1024,2000,1000,0.000170562,0.000868131,0.007070152,0.00236715,0.000279384,0.000006722,0.004741,0.002996,0.003304,0.011162511
mpi-multi,sort1K.data,1,3,1,2,2,8,1024,2000,1000,0.000233023,0.000902994,0.006635288,0.003366026,0.000279646,0.000005953,0.00476,0.002803,0.004286,0.011990027
radix-sort,sort4M.data,78,0,1,1,1,1,4194304,2000,2000,0.16565841,0,0,0.150259966,0,0,0,0.76694728,0,1.090421484
sort-unstable,sort4M.data,78,0,1,1,1,1,4194304,2000,2000,0.179237017,0,0,0.15246735,0,0,0,0.599010695,0,0.937958838
radix-sort,sort4M.data,78,1,1,1,1,1,4194304,2000,2000,0.170007713,0,0,0.344250319,0,0,0,0.769015038,0,1.291464635
sort-unstable,sort4M.data,78,1,1,1,1,1,4194304,2000,2000,0.160238551,0,0,0.375511429,0,0,0,0.593538664,0,1.136115468
radix-sort,sort4M.data,78,2,1,1,1,1,4194304,2000,2000,0.171477029,0,0,0.255897294,0,0,0,0.770902181,0,1.207168375
sort-unstable,sort4M.data,78,2,1,1,1,1,4194304,2000,2000,0.162759728,0,0,0.259211641,0,0,0,0.59528015,0,1.024294396
radix-sort,sort4M.data,78,3,1,1,1,1,4194304,2000,2000,0.15915962,0,0,0.263206166,0,0,0,0.769634707,0,1.198258968
